ダウンロードした時刻：2021/11/20 21:48:58

,相川,相川,相川,相川,相川,相川,相川,下関,下関,下関,下関,下関,新潟,新潟,新潟,新潟,新潟,新潟,新潟,津川,津川,津川,津川,津川,新津,新津,新津,新津,新津,長岡,長岡,長岡,長岡,長岡,守門,守門,守門,守門,守門,小出,小出,小出,小出,小出,柏崎,柏崎,柏崎,柏崎,柏崎,高田,高田,高田,高田,高田,高田,高田,能生,能生,能生,能生,能生,関山,関山,関山,関山,関山,津南,津南,津南,津南,津南,湯沢,湯沢,湯沢,湯沢,湯沢,十日町,十日町,十日町,十日町,十日町
2020/12/9,0,1,8,1,0,,8,0,8,1,2,8,0,1,8,1,1,,8,0,8,1,2,8,0,8,1,1,8,0,8,1,2,8,1,8,1,7,8,0,8,1,3,8,,1,1,1,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,5,8,0,8,1,8,8,0,8,1,5,8,0,8,1,5,8
2020/12/10,0,1,8,1,0,,8,0,8,1,2,8,0,1,8,1,1,,8,0,8,1,3,8,0,8,1,1,8,0,8,1,2,8,0,8,1,7,8,0,8,1,4,8,0,4,1,1,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,6,8,0,8,1,8,8,0,8,1,5,8,0,5,1,5,8
2020/12/11,0,1,8,1,0,,8,0,8,1,2,8,0,1,8,1,1,,8,0,8,1,3,8,0,8,1,1,8,0,8,1,2,8,0,8,1,8,8,0,8,1,4,8,0,8,1,1,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,6,8,0,8,1,9,8,0,8,1,6,8,0,8,1,6,8
2020/12/12,0,1,8,1,0,,8,0,8,1,3,8,0,1,8,1,1,,8,0,8,1,3,8,0,8,1,1,8,0,8,1,3,8,0,8,1,8,8,0,8,1,4,8,0,8,1,1,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,7,8,0,8,1,10,8,0,8,1,6,8,0,8,1,6,8
2020/12/13,0,1,8,1,0,,8,0,8,1,3,8,0,1,8,1,1,,8,0,8,1,4,8,0,8,1,1,8,0,8,1,3,8,0,8,1,9,8,0,8,1,5,8,0,8,1,1,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,7,8,0,8,1,10,8,0,8,1,7,8,0,8,1,6,8
2020/12/14,0,1,8,1,0,,8,9,8,1,3,8,0,1,8,1,1,,8,27,8,1,4,8,3,8,1,1,8,19,8,1,3,8,17,8,1,9,8,8,8,1,5,8,17,8,1,1,8,20,0,8,1,2,,8,18,8,1,2,8,26,8,1,8,8,26,8,1,10,8,11,8,1,7,8,23,8,1,7,8
2020/12/15,0,1,8,1,0,,8,12,8,1,3,8,0,1,8,1,1,,8,21,8,1,4,8,10,8,1,1,8,31,8,1,3,8,50,8,1,9,8,50,8,1,6,8,9,8,1,1,8,10,0,8,1,2,,8,14,8,1,3,8,29,8,1,8,8,88,8,1,11,8,92,8,1,7,8,57,8,1,7,8
2020/12/16,0,1,8,1,0,,8,1,8,1,3,8,0,1,8,1,1,,8,1,8,1,4,8,0,8,1,1,8,6,8,1,3,8,30,8,1,10,8,42,8,1,6,8,8,8,1,1,8,18,0,8,1,3,,8,11,8,1,3,8,46,8,1,8,8,61,8,1,11,8,44,4,1,7,8,36,5,1,7,8
2020/12/17,0,1,8,1,0,,8,11,8,1,3,8,1,0,8,1,1,,8,2,8,1,4,8,0,8,1,1,8,5,8,1,3,8,7,8,1,10,8,11,8,1,6,8,4,8,1,1,8,6,0,8,1,3,,8,6,8,1,3,8,3,8,1,8,8,7,8,1,11,8,6,4,1,8,8,19,8,1,7,8
2020/12/18,0,1,8,1,0,,8,4,8,1,3,8,0,1,8,1,1,,8,13,8,1,5,8,0,8,1,2,8,5,8,1,3,8,20,8,1,10,8,2,8,1,6,8,1,8,1,1,8,8,0,8,1,3,,8,1,8,1,3,8,0,5,1,8,8,2,8,1,11,8,0,8,1,8,8,13,8,1,7,8
2020/12/19,0,1,8,1,0,,8,4,8,1,4,8,0,1,8,1,1,,8,8,8,1,5,8,0,8,1,2,8,5,8,1,3,8,25,8,1,10,8,28,8,1,7,8,0,8,1,1,8,2,0,8,1,3,,8,2,8,1,3,8,51,8,1,8,8,63,8,1,11,8,48,8,1,8,8,28,8,1,7,8
2020/12/20,0,1,8,1,0,,8,8,8,1,4,8,0,1,8,1,1,,8,1,8,1,5,8,0,8,1,2,8,4,8,1,3,8,19,8,1,10,8,27,8,1,7,8,4,8,1,1,8,9,0,8,1,3,,8,1,8,1,3,8,7,8,1,8,8,16,8,1,11,8,18,8,1,8,8,16,8,1,8,8
2020/12/21,0,1,8,1,0,,8,3,8,1,4,8,0,1,8,1,1,,8,2,8,1,5,8,0,8,1,2,8,4,8,1,3,8,6,8,1,10,8,4,8,1,7,8,0,8,1,1,8,13,0,8,1,3,,8,2,8,1,3,8,0,8,1,8,8,15,8,1,11,8,17,8,1,8,8,11,8,1,8,8
2020/12/22,0,1,8,1,0,,8,1,8,1,4,8,0,1,8,1,1,,8,1,8,1,5,8,0,8,1,2,8,3,8,1,3,8,0,8,1,10,8,0,8,1,7,8,0,8,1,1,8,0,1,8,1,3,,8,1,8,1,3,8,0,8,1,9,8,0,8,1,11,8,0,8,1,8,8,0,8,1,8,8
2020/12/23,0,1,8,1,0,,8,0,8,1,4,8,0,1,8,1,1,,8,5,8,1,5,8,0,8,1,2,8,3,8,1,3,8,3,8,1,10,8,0,8,1,7,8,0,8,1,1,8,0,1,8,1,3,,8,1,8,1,3,8,0,8,1,9,8,0,8,1,11,8,0,8,1,9,8,0,8,1,8,8
2020/12/24,0,1,8,1,0,,8,3,8,1,4,8,0,1,8,1,1,,8,1,8,1,5,8,0,8,1,2,8,5,8,1,3,8,1,8,1,10,8,0,5,1,8,8,0,8,1,1,8,0,1,8,1,3,,8,2,8,1,3,8,0,8,1,9,8,1,8,1,11,8,0,8,1,9,8,0,8,1,8,8
2020/12/25,0,1,8,1,0,,8,11,8,1,4,8,0,1,8,1,1,,8,10,8,1,5,8,0,8,1,2,8,10,8,1,3,8,17,8,1,10,8,11,8,1,8,8,0,8,1,1,8,13,0,8,1,3,,8,20,8,1,3,8,53,8,1,9,8,36,8,1,12,8,24,8,1,9,8,21,8,1,8,8
2020/12/26,0,1,8,1,0,,8,7,8,1,4,8,0,1,8,1,1,,8,21,8,1,5,8,0,8,1,2,8,9,8,1,3,8,36,8,1,11,8,16,8,1,8,8,0,8,1,1,8,1,0,8,1,3,,8,2,8,1,3,8,1,8,1,10,8,16,8,1,12,8,18,8,1,10,8,11,8,1,8,8
2020/12/27,0,1,8,1,0,,8,5,8,1,4,8,0,1,8,1,1,,8,0,8,1,5,8,0,8,1,2,8,1,8,1,3,8,0,8,1,11,8,0,8,1,8,8,0,8,1,1,8,0,1,8,1,3,,8,3,8,1,3,8,0,8,1,10,8,1,8,1,12,8,0,8,1,10,8,1,8,1,9,8
2020/12/28,0,1,8,1,0,,8,2,8,1,4,8,0,1,8,1,1,,8,1,8,1,6,8,0,8,1,2,8,2,8,1,3,8,0,8,1,11,8,0,8,1,8,8,0,8,1,1,8,0,1,8,1,3,,8,2,8,1,3,8,0,8,1,10,8,5,8,1,13,8,0,8,1,11,8,0,8,1,9,8
2020/12/29,0,1,8,1,0,,8,4,8,1,4,8,0,1,8,1,1,,8,3,8,1,6,8,0,8,1,2,8,6,8,1,3,8,0,8,1,11,8,0,8,1,8,8,0,8,1,2,8,0,1,8,1,3,,8,3,8,1,4,8,0,8,1,10,8,2,8,1,13,8,0,8,1,11,8,0,8,1,9,8
2020/12/30,1,0,8,1,0,,8,13,8,1,4,8,3,0,8,1,1,,8,23,8,1,6,8,1,8,1,2,8,13,8,1,4,8,26,8,1,12,8,22,8,1,8,8,0,8,1,2,8,8,0,8,1,3,,8,13,8,1,4,8,39,8,1,11,8,32,8,1,13,8,37,8,1,11,8,21,8,1,9,8
2020/12/31,3,0,8,1,0,,8,11,8,1,5,8,5,0,8,1,1,,8,10,8,1,6,8,7,8,1,2,8,32,8,1,4,8,42,8,1,12,8,47,8,1,9,8,12,8,1,2,8,20,0,8,1,3,,8,19,8,1,4,8,6,8,1,11,8,18,8,1,13,8,17,8,1,11,8,44,8,1,9,8
2021/1/1,2,0,8,1,0,,8,26,8,1,5,8,8,0,8,1,1,,8,27,8,1,6,8,10,8,1,2,8,18,8,1,4,8,42,8,1,12,8,32,8,1,9,8,0,4,1,2,8,12,0,8,1,3,,8,15,8,1,4,8,48,8,1,11,8,44,8,1,13,8,45,8,1,12,8,47,8,1,10,8
2021/1/2,10,0,8,1,0,,8,35,8,1,5,8,15,0,8,1,1,,8,27,8,1,7,8,35,8,1,2,8,27,8,1,4,8,11,8,1,12,8,10,8,1,9,8,,1,1,2,8,45,0,8,1,4,,8,41,8,1,4,8,24,8,1,11,8,9,8,1,14,8,6,8,1,12,8,17,8,1,10,8
2021/1/3,2,0,8,1,0,,8,27,8,1,5,8,10,0,8,1,1,,8,6,5,1,7,8,20,8,1,2,8,26,8,1,4,8,4,8,1,12,8,0,8,1,9,8,,1,1,2,8,22,0,8,1,4,,8,27,8,1,4,8,8,8,1,12,8,5,8,1,14,8,3,8,1,12,8,5,8,1,10,8
2021/1/4,0,1,8,1,0,,8,8,8,1,5,8,2,0,8,1,1,,8,10,8,1,7,8,1,8,1,2,8,7,8,1,5,8,22,8,1,12,8,12,8,1,9,8,0,4,1,2,8,0,1,8,1,4,,8,2,8,1,5,8,2,8,1,12,8,0,8,1,14,8,0,8,1,12,8,14,8,1,10,8
2021/1/5,0,1,8,1,0,,8,8,8,1,6,8,3,0,8,1,1,,8,15,8,1,7,8,5,8,1,2,8,26,8,1,5,8,12,8,1,12,8,4,8,1,9,8,1,8,1,3,8,0,1,8,1,4,,8,1,8,1,5,8,0,8,1,12,8,4,8,1,14,8,1,8,1,12,8,3,8,1,10,8
2021/1/6,0,1,8,1,1,,8,2,8,1,6,8,1,0,8,1,1,,8,7,8,1,7,8,2,8,1,3,8,5,8,1,5,8,1,8,1,12,8,0,8,1,10,8,2,8,1,3,8,3,0,8,1,4,,8,1,8,1,5,8,6,8,1,12,8,8,8,1,14,8,1,8,1,12,8,1,8,1,11,8
2021/1/7,0,1,8,1,1,,8,20,8,1,6,8,4,0,8,1,2,,8,22,8,1,8,8,7,8,1,3,8,18,8,1,5,8,20,8,1,12,8,20,8,1,10,8,7,8,1,3,8,13,0,8,1,5,,8,16,8,1,5,8,38,8,1,12,8,35,8,1,14,8,32,8,1,12,8,27,8,1,11,8
2021/1/8,12,0,8,1,1,,8,25,8,1,6,8,26,0,8,1,2,,8,39,8,1,8,8,48,8,1,3,8,51,8,1,6,8,35,8,1,13,8,40,8,1,10,8,26,8,1,3,8,103,0,8,1,5,,8,61,8,1,6,8,15,8,1,12,8,58,8,1,14,8,35,8,1,12,8,89,8,1,11,8
2021/1/9,13,0,8,1,1,,8,33,8,1,6,8,17,0,8,1,2,,8,11,8,1,8,8,26,8,1,3,8,37,8,1,6,8,27,8,1,13,8,31,8,1,10,8,8,4,1,3,8,55,0,8,1,5,,8,52,8,1,6,8,8,8,1,12,8,16,8,1,14,8,2,8,1,12,8,43,8,1,11,8
2021/1/10,5,0,8,1,1,,8,39,8,1,6,8,7,0,8,1,2,,8,15,8,1,8,8,18,8,1,3,8,24,8,1,6,8,32,8,1,13,8,26,8,1,10,8,16,4,1,4,8,16,0,8,1,5,,8,42,8,1,6,8,50,8,1,12,8,24,8,1,14,8,8,8,1,12,8,27,8,1,11,8
2021/1/11,2,0,8,1,1,,8,15,8,1,6,8,15,0,8,1,2,,8,8,8,1,8,8,18,8,1,3,8,14,8,1,6,8,4,8,1,13,8,5,8,1,10,8,15,8,1,4,8,26,0,8,1,6,,8,21,8,1,6,8,36,8,1,12,8,7,8,1,14,8,5,8,1,12,8,3,8,1,11,8
2021/1/12,0,1,8,1,1,,8,1,8,1,6,8,0,1,8,1,2,,8,4,8,1,8,8,0,8,1,3,8,2,8,1,6,8,4,8,1,13,8,0,8,1,10,8,0,8,1,4,8,0,1,8,1,6,,8,1,8,1,6,8,0,8,1,12,8,0,8,1,14,8,0,8,1,12,8,0,8,1,11,8
2021/1/13,0,1,8,1,1,,8,1,8,1,6,8,0,1,8,1,2,,8,6,8,1,8,8,0,8,1,3,8,6,8,1,6,8,1,8,1,12,8,0,8,1,10,8,0,8,1,4,8,0,1,8,1,6,,8,0,8,1,6,8,0,8,1,12,8,0,8,1,14,8,0,8,1,12,8,0,8,1,11,8
2021/1/14,0,1,8,1,1,,8,1,8,1,6,8,0,1,8,1,2,,8,0,8,1,8,8,1,8,1,3,8,4,8,1,6,8,0,8,1,12,8,0,8,1,10,8,0,8,1,4,8,0,1,8,1,6,,8,1,8,1,7,8,0,8,1,12,8,1,8,1,14,8,0,8,1,11,8,0,8,1,11,8
2021/1/15,0,1,8,1,1,,8,3,8,1,6,8,0,1,8,1,2,,8,0,8,1,8,8,1,8,1,3,8,1,8,1,6,8,0,8,1,12,8,0,8,1,10,8,1,8,1,4,8,0,1,8,1,6,,8,2,8,1,7,8,0,8,1,12,8,0,8,1,14,8,0,8,1,11,8,0,8,1,11,8
2021/1/16,0,1,8,1,1,,8,7,8,1,7,8,0,1,8,1,2,,8,0,8,1,8,8,0,8,1,3,8,7,8,1,6,8,9,8,1,12,8,3,8,1,10,8,0,8,1,4,8,4,0,8,1,6,,8,6,8,1,7,8,13,8,1,12,8,11,8,1,14,8,9,8,1,11,8,7,8,1,11,8
2021/1/17,8,0,8,1,1,,8,18,8,1,7,8,22,0,8,1,2,,8,0,8,1,8,8,9,8,1,3,8,7,8,1,6,8,7,8,1,12,8,0,8,1,10,8,9,8,1,4,8,3,0,8,1,6,,8,11,8,1,7,8,4,8,1,12,8,7,8,1,14,8,3,8,1,11,8,3,8,1,11,8
2021/1/18,7,0,8,1,1,,8,16,8,1,7,8,13,0,8,1,2,,8,34,8,1,8,8,25,8,1,4,8,15,8,1,6,8,8,8,1,12,8,1,8,1,10,8,3,8,1,4,8,3,0,8,1,6,,8,10,8,1,7,8,3,8,1,12,8,6,8,1,14,8,0,8,1,11,8,3,8,1,11,8
2021/1/19,1,0,8,1,1,,8,4,8,1,7,8,1,0,8,1,2,,8,2,8,1,8,8,1,8,1,4,8,7,8,1,6,8,22,8,1,12,8,26,8,1,11,8,2,8,1,4,8,1,0,8,1,6,,8,1,8,1,7,8,56,8,1,12,8,41,8,1,14,8,53,8,1,11,8,15,8,1,12,8
2021/1/20,0,1,8,1,1,,8,10,8,1,7,8,0,1,8,1,2,,8,1,8,1,8,8,1,8,1,4,8,3,8,1,7,8,7,8,1,13,8,9,8,1,11,8,3,8,1,4,8,0,1,8,1,6,,8,1,8,1,7,8,0,8,1,12,8,1,8,1,14,8,0,8,1,11,8,4,8,1,12,8
2021/1/21,0,1,8,1,1,,8,2,8,1,7,8,0,1,8,1,2,,8,3,8,1,9,8,0,8,1,4,8,0,8,1,7,8,0,8,1,13,8,0,8,1,11,8,0,8,1,4,8,0,1,8,1,6,,8,0,8,1,7,8,0,8,1,12,8,3,5,1,14,8,0,8,1,12,8,0,8,1,12,8
2021/1/22,0,1,8,1,1,,8,3,8,1,7,8,0,1,8,1,2,,8,1,8,1,9,8,0,8,1,4,8,2,8,1,7,8,0,8,1,13,8,0,8,1,11,8,0,8,1,4,8,0,1,8,1,6,,8,4,8,1,7,8,0,8,1,12,8,3,8,1,14,8,0,8,1,12,8,0,8,1,12,8
2021/1/23,0,1,8,1,1,,8,2,8,1,7,8,0,1,8,1,2,,8,2,8,1,9,8,0,8,1,4,8,1,8,1,7,8,0,8,1,13,8,0,8,1,11,8,0,8,1,5,8,0,1,8,1,6,,8,1,8,1,8,8,0,8,1,12,8,0,8,1,14,8,0,8,1,12,8,0,8,1,12,8
2021/1/24,0,1,8,1,1,,8,3,8,1,7,8,0,1,8,1,2,,8,3,8,1,9,8,1,8,1,4,8,1,8,1,7,8,1,8,1,13,8,0,8,1,11,8,0,8,1,5,8,0,1,8,1,6,,8,1,8,1,8,8,0,8,1,13,8,5,8,1,14,8,1,8,1,12,8,0,8,1,12,8
2021/1/25,0,1,8,1,1,,8,1,8,1,8,8,0,1,8,1,2,,8,1,8,1,9,8,0,8,1,4,8,3,8,1,8,8,1,8,1,14,8,0,8,1,12,8,1,8,1,5,8,0,1,8,1,6,,8,2,8,1,8,8,0,8,1,13,8,1,8,1,14,8,0,8,1,13,8,1,8,1,12,8
2021/1/26,0,1,8,1,1,,8,1,8,1,8,8,0,1,8,1,3,,8,1,8,1,9,8,1,8,1,4,8,2,8,1,8,8,1,8,1,14,8,0,8,1,12,8,1,8,1,5,8,0,1,8,1,6,,8,0,8,1,8,8,1,8,1,13,8,2,8,1,15,8,0,8,1,13,8,0,8,1,12,8
2021/1/27,0,1,8,1,1,,8,4,5,1,8,8,0,1,8,1,3,,8,4,8,1,9,8,2,8,1,4,8,4,8,1,8,8,0,8,1,14,8,0,8,1,12,8,0,8,1,5,8,0,1,8,1,7,,8,1,8,1,8,8,2,8,1,13,8,2,8,1,15,8,0,8,1,13,8,0,8,1,12,8
2021/1/28,0,1,8,1,1,,8,2,8,1,8,8,0,1,8,1,3,,8,0,8,1,9,8,1,8,1,4,8,0,8,1,8,8,0,8,1,14,8,0,8,1,12,8,2,8,1,5,8,0,1,8,1,7,,8,1,8,1,8,8,3,8,1,13,8,0,8,1,15,8,0,8,1,13,8,1,8,1,12,8
2021/1/29,0,1,8,1,1,,8,4,8,1,8,8,0,1,8,1,3,,8,25,8,1,9,8,4,8,1,4,8,10,8,1,8,8,28,8,1,14,8,37,8,1,12,8,4,8,1,5,8,28,0,8,1,7,,8,28,8,1,8,8,43,8,1,13,8,48,8,1,15,8,54,8,1,13,8,49,8,1,12,8
2021/1/30,2,0,8,1,1,,8,31,8,1,8,8,4,0,8,1,3,,8,16,8,1,9,8,6,8,1,4,8,11,8,1,8,8,22,8,1,14,8,17,8,1,12,8,1,8,1,5,8,3,0,8,1,7,,8,7,8,1,8,8,5,8,1,13,8,17,8,1,15,8,8,8,1,13,8,21,8,1,12,8
2021/1/31,0,1,8,1,1,,8,3,8,1,8,8,0,1,8,1,2,,8,11,8,1,9,8,1,8,1,4,8,1,8,1,8,8,20,8,1,14,8,7,8,1,12,8,0,8,1,5,8,3,0,8,1,7,,8,1,8,1,8,8,15,8,1,13,8,19,8,1,15,8,14,8,1,13,8,17,8,1,12,8
