ダウンロードした時刻：2021/11/19 00:45:36

,朝日,朝日,朝日,朝日,朝日,魚津,魚津,魚津,魚津,魚津,伏木,伏木,伏木,伏木,伏木,伏木,伏木,氷見,氷見,氷見,氷見,氷見,砺波,砺波,砺波,砺波,砺波,富山,富山,富山,富山,富山,富山,富山
2020/12/8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8
2020/12/9,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8
2020/12/10,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8
2020/12/11,0,8,1,1,8,0,8,1,1,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,2,8,0,1,8,1,1,,8
2020/12/12,0,8,1,1,8,0,8,1,2,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,2,8,0,1,8,1,1,,8
2020/12/13,0,8,1,1,8,0,8,1,2,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,2,8,0,1,8,1,1,,8
2020/12/14,2,8,1,1,8,0,8,1,2,8,0,1,8,1,1,,8,0,8,1,1,8,0,8,1,2,8,9,0,8,1,2,,8
2020/12/15,14,8,1,1,8,9,8,1,2,8,8,0,8,1,1,,8,4,8,1,2,8,0,8,1,2,8,10,0,8,1,2,,8
2020/12/16,15,8,1,1,8,16,8,1,2,8,11,0,8,1,2,,8,12,8,1,2,8,13,8,1,2,8,20,0,8,1,2,,8
2020/12/17,1,8,1,1,8,2,8,1,2,8,5,0,8,1,2,,8,8,8,1,2,8,6,8,1,2,8,5,0,8,1,2,,8
2020/12/18,0,8,1,2,8,1,8,1,2,8,0,1,8,1,2,,8,4,8,1,2,8,0,8,1,2,8,0,1,8,1,2,,8
2020/12/19,9,8,1,2,8,7,8,1,2,8,9,0,8,1,2,,8,13,8,1,2,8,12,8,1,2,8,7,0,8,1,2,,8
2020/12/20,1,8,1,2,8,7,8,1,2,8,8,0,8,1,2,,8,14,8,1,2,8,14,8,1,2,8,2,0,8,1,2,,8
2020/12/21,2,8,1,2,8,0,8,1,2,8,1,0,8,1,2,,8,7,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8
2020/12/22,0,8,1,2,8,1,8,1,2,8,0,1,8,1,2,,8,1,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8
2020/12/23,1,8,1,2,8,0,8,1,2,8,0,1,8,1,2,,8,1,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8
2020/12/24,0,8,1,2,8,0,8,1,2,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8
2020/12/25,1,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8
2020/12/26,0,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8
2020/12/27,0,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8
2020/12/28,0,8,1,2,8,0,8,1,3,8,0,1,8,1,2,,8,0,8,1,2,8,0,8,1,3,8,0,1,8,1,3,,8
2020/12/29,0,8,1,2,8,0,8,1,3,8,0,1,8,1,3,,8,0,8,1,2,8,0,8,1,3,8,0,1,8,1,3,,8
2020/12/30,5,8,1,2,8,5,8,1,3,8,2,0,8,1,3,,8,8,8,1,2,8,13,8,1,4,8,5,0,8,1,3,,8
2020/12/31,10,8,1,2,8,3,8,1,3,8,21,0,8,1,3,,8,22,8,1,3,8,19,8,1,4,8,20,0,8,1,3,,8
2021/1/1,10,8,1,2,8,10,8,1,3,8,3,0,8,1,3,,8,5,8,1,3,8,2,8,1,4,8,6,0,8,1,3,,8
2021/1/2,7,8,1,2,8,11,8,1,3,8,12,0,8,1,3,,8,7,8,1,3,8,6,8,1,4,8,18,0,8,1,3,,8
2021/1/3,12,8,1,2,8,2,8,1,3,8,0,1,8,1,3,,8,2,8,1,3,8,0,8,1,4,8,0,1,8,1,3,,8
2021/1/4,0,8,1,2,8,0,8,1,3,8,1,0,8,1,3,,8,1,8,1,3,8,0,8,1,4,8,0,1,8,1,3,,8
2021/1/5,0,8,1,2,8,0,8,1,3,8,1,0,8,1,3,,8,3,8,1,3,8,1,8,1,4,8,0,1,8,1,3,,8
2021/1/6,1,8,1,3,8,1,8,1,3,8,3,0,8,1,3,,8,6,8,1,3,8,1,8,1,4,8,1,0,8,1,3,,8
2021/1/7,12,8,1,3,8,10,8,1,3,8,37,0,8,1,3,,8,38,8,1,3,8,44,8,1,4,8,26,0,8,1,3,,8
2021/1/8,69,8,1,3,8,64,8,1,4,8,53,0,8,1,3,,8,34,8,1,3,8,22,8,1,4,8,61,0,8,1,3,,8
2021/1/9,10,8,1,3,8,13,8,1,4,8,34,0,8,1,3,,8,26,8,1,3,8,62,8,1,4,8,31,0,8,1,3,,8
2021/1/10,28,8,1,3,8,12,8,1,4,8,12,0,8,1,3,,8,10,8,1,3,8,12,8,1,4,8,6,0,8,1,3,,8
2021/1/11,14,8,1,3,8,11,8,1,4,8,2,0,8,1,3,,8,3,5,1,3,8,5,8,1,5,8,10,0,8,1,3,,8
2021/1/12,0,8,1,3,8,0,8,1,4,8,0,1,8,1,3,,8,3,8,1,3,8,0,8,1,5,8,0,1,8,1,3,,8
2021/1/13,0,8,1,3,8,0,8,1,4,8,0,1,8,1,3,,8,5,8,1,3,8,0,8,1,5,8,0,1,8,1,3,,8
2021/1/14,0,8,1,3,8,0,8,1,4,8,0,1,8,1,3,,8,7,8,1,3,8,0,8,1,5,8,0,1,8,1,3,,8
2021/1/15,0,8,1,3,8,0,8,1,4,8,0,1,8,1,3,,8,2,8,1,3,8,0,8,1,5,8,0,1,8,1,3,,8
2021/1/16,2,8,1,3,8,1,8,1,4,8,0,1,8,1,3,,8,9,8,1,3,8,1,8,1,5,8,1,0,8,1,3,,8
2021/1/17,1,8,1,3,8,2,8,1,4,8,3,0,8,1,3,,8,3,8,1,3,8,7,8,1,5,8,4,0,8,1,3,,8
2021/1/18,11,8,1,3,8,11,8,1,4,8,21,0,8,1,3,,8,19,8,1,4,8,17,8,1,5,8,9,0,8,1,3,,8
2021/1/19,3,8,1,3,8,5,8,1,4,8,5,0,8,1,3,,8,7,8,1,4,8,6,8,1,5,8,6,0,8,1,3,,8
2021/1/20,0,8,1,4,8,0,8,1,4,8,0,1,8,1,3,,8,4,8,1,4,8,0,8,1,5,8,0,1,8,1,4,,8
2021/1/21,0,8,1,4,8,0,8,1,5,8,0,1,8,1,4,,8,1,8,1,4,8,1,8,1,6,8,0,1,8,1,4,,8
2021/1/22,0,8,1,4,8,0,8,1,5,8,0,1,8,1,4,,8,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8
2021/1/23,0,8,1,4,8,0,8,1,5,8,0,1,8,1,4,,8,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8
2021/1/24,0,8,1,4,8,0,8,1,5,8,0,1,8,1,4,,8,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8
2021/1/25,0,8,1,4,8,0,8,1,5,8,0,1,8,1,4,,8,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8
2021/1/26,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8
2021/1/27,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8
2021/1/28,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8
2021/1/29,25,8,1,4,8,15,8,1,6,8,10,0,8,1,4,,8,17,8,1,4,8,17,8,1,6,8,17,0,8,1,4,,8
2021/1/30,0,8,1,4,8,2,8,1,6,8,4,0,8,1,4,,8,2,8,1,4,8,3,8,1,6,8,6,0,8,1,4,,8
2021/1/31,0,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8,2,8,1,4,8,0,8,1,6,8,0,1,8,1,4,,8
